Nom,postal,INS
Eksel,3941,72007
Elderen,3770,73104
Elen,3650,72006
Elene,9620,41013
Elewijt,1982,23018
Eliksem,3400,24024
Elingen,1671,23019
Ellemelle,4590,61017
ELLEZELLES,7890,51017
Ellignies-lez-Frasnes,7910,51066
Ellignies-Sainte-Anne,7972,51018
Ellikom,3670,72008
Élouges,7370,53021
Elsegem,9790,45008
Elsenborn,4750,63021
Elst,9660,45009
Elverdinge,8906,33007
Elversele,9140,46008
Emblem,2520,11015
Embourg,4053,62030
Emelgem,8870,36004
Émines,5080,92036
Emptinne,5363,91039
Ename,9700,45010
Engelmanshoven,3800,71014
ENGHIEN,7850,55010
Engis,4480,62031
ENGIS ,4480,61080
Énines,1350,25028
Ensival,4800,63022
Épinois,7134,56020
Eppegem,1980,23020
Éprave,5580,91040
Erbaut,7050,53022
Erbisœul,7050,53023
Ère,7500,57022
Erembodegem,9320,41014
ÉREZÉE,6997,83013
Ermeton-sur-Biert,5644,92037
Ernage,5030,92038
Erneuville,6972,83014
Ernonheid,4920,61018
Erondegem,9420,41015
Erpe,9420,41016
ERPE-MERE,9420,41082
Erpent,5100,92039
Erpion,6441,56021
Erps-Kwerps,3071,24025
ERQUELINNES,6560,56022
Erquennes,7387,53024
Ertvelde,9940,43006
Erwetegem,9620,41017
Escanaffles,7760,57023
Esen,8600,32004
ESNEUX,4130,62032
Esplechin,7502,57024
Esquelmes,7743,57025
ESSEN,2910,11016
Essene,1790,23021
Estaimbourg,7730,57026
ESTAIMPUIS,7730,57027
ESTINNES,7120,56085
Estinnes-au-Mont,7120,56023
Estinnes-au-Val,7120,55011
ÉTALLE,6740,85009
Èthe,6760,85010
Etikhove,9680,45011
Ettelgem,8450,35004
ETTERBEEK,1040,21005
Eugies,7080,53025
Eugies (Colfontaine),7340,
Eugies (Frameries),7080,
EUPEN,4700,63023
Évegnée,4631,62802
Évegnée-Tignée,4631,62033
Évelette,5350,92040
Everbeek,9660,45012
Everberg,3078,24026
EVERE,1140,21006
EVERGEM,9940,44019
Évregnies,7730,57028
Évrehailles,5530,91041
Eynatten,4731,63024
Ezemaal,3400,24027
Fagnolle,5600,93020
FAIMES,4317,64076
Falaën,5522,91042
Falisolle,5060,92041
Fallais,4260,64024
Falmagne,5500,91043
Falmignoul,5500,91044
Familleureux,7181,52017
FARCIENNES,6240,52018
Faulx-les-Tombes,5340,92042
Faurœulx,7120,56024
FAUVILLERS,6637,82009
Faymonville,4950,63025
Fays-les-Veneurs,6856,84019
Fayt-le-Franc,7387,53026
Fayt-lez-Manage,7170,52019
Felenne,5570,91045
Feluy,7181,52020
Feneur,4607,62034
FERNELMONT,5380,92138
FERRIÈRES,4190,61019
Feschaux,5570,91046
FEXHE-LE-HAUT-CLOCHER,4347,64025
Fexhe-Slins,4458,62035
Filot,4181,61020
Finnevaux,5560,91047
Fize-Fontaine,4530,61021
Fize-le-Marsal,4367,64026
Flamierge,6686,82010
Flavion,5620,93021
Flawinne,5020,92043
FLÉMALLE,4400,62120
Flémalle-Grande,4400,62036
Flémalle-Haute,4400,62037
Flénu,7012,53027
FLÉRON,4620,62038
FLEURUS,6220,52021
FLOBECQ,7880,51019
Flône,4540,61022
Florée,5334,92044
FLOREFFE,5150,92045
FLORENNES,5620,93022
FLORENVILLE,6820,85011
Floriffoux,5150,92046
Flostoy,5370,91048
Focant,5572,91049
