,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
2097,GO! basisschool Permekeschool Jabbeke,Varsenareweg 7_C  ,Jabbeke,8490,45,76,,,121
2105,GO! basisschool Arnoldus Oudenburg,Brouwerijstraat 8    ,Oudenburg,8460,97,141,,,238
2113,GO! basisschool De Klimop Gistel,Putbekestraat 30   ,Gistel,8470,107,140,,,247
2139,"GO! basisschool Koekelare     ""De Lettertuin""",Ringlaan 18   ,Koekelare,8680,133,207,,,340
2147,GO! basisschool Zwinstede Knokke,Piers de Raveschootlaan 54   ,Knokke-Heist,8300,96,141,,,237
2154,GO! basisschool De Linde Sint-Kruis,Brieversweg 185  ,Brugge,8310,39,64,,,103
2162,GO! basisschool Assebroek,Daverlostraat 132  ,Brugge,8310,143,296,,,439
2171,GO! basisschool D'oefenschool Blankenberge,Van Maerlantstraat 1    ,Blankenberge,8370,126,172,,,298
2188,GO! basisschool Zilvermeeuw Blankenberge,Groenestraat 69   ,Blankenberge,8370,110,164,,,274
2204,GO! basisschool Oostende Centrum,Hendrik Serruyslaan 28   ,Oostende,8400,74,94,,,168
2212,GO! basisschool Stene Oostende,Steensedijk 352  ,Oostende,8400,174,294,,,468
2221,GO! basisschool Vogelzang Oostende,Haverstraat 9    ,Oostende,8400,132,196,,,328
2246,GO! basisschool Einstein De Haan,Einsteinlaan 1    ,De Haan,8420,47,106,,,153
2261,GO! basisschool De Vierboete Nieuwpoort,Arsenaalstraat 35   ,Nieuwpoort,8620,103,144,,,247
2279,GO! basisschool De Letterzee Koksijde,Albert Fastenaekelslaan 24   ,Koksijde,8670,25,48,,,73
2287,GO! basisschool De Tuimelaar De Panne,Verenigingstraat 17   ,De Panne,8660,49,76,,,125
2295,GO! basisschool Veurne,Noordstraat 21   ,Veurne,8630,70,136,,,206
2303,GO! basisschool Drie HofstedenKortrijk,Minister De Taeyelaan 11   ,Kortrijk,8500,184,265,,,449
2311,GO! basisschool Het Open Groene Marke,Kalvariestraat 70   ,Kortrijk,8510,86,135,,,221
2329,GO! basisschool Ter Molen Lauwe,Grote Molenstraat 113  ,Menen,8930,61,87,,,148
2337,GO! basisschool Groenheuvel Bellegem,Groenweg 12   ,Kortrijk,8510,22,41,,,63
2345,GO! basisschool De Windroos Zwevegem,Hendrik Consciencestraat 1_B  ,Zwevegem,8550,49,72,,,121
2352,GO! basisschool De driesprong Deerlijk,Kapel ter Rustestraat 3    ,Deerlijk,8540,36,48,,,84
2361,GO! basisschool De Toekomst Avelgem,Kerkhofstraat 51   ,Avelgem,8580,170,316,,,486
2394,GO! basisschool De Startbaan  Wevelgem,Veldstraat 17   ,Wevelgem,8560,78,97,,,175
2402,GO! basisschool Wervik,Hellestraat 15   ,Wervik,8940,96,133,,,229
2411,GO! basisschool Ter Berken Langemark,Korte Ieperstraat 27   ,Langemark-Poelkapelle,8920,35,54,,,89
2428,GO! basisschool De eekhoorntjes Ledegem,Kortwagenstraat 2    ,Ledegem,8880,24,32,,,56
2436,GO! basisschool Bellevue Izegem,Bellevuestraat 28   ,Izegem,8870,117,152,,,269
2444,GO! basisschool Kransvijver Heule,Albrecht Rodenbachlaan 58   ,Kortrijk,8501,55,62,,,117
2451,GO! basisschool De Rijzende Ster Kuurne,Boomgaardstraat 21   ,Kuurne,8520,25,78,,,103
2469,GO! basisschool Ter Gavers Harelbeke,Arendsstraat 62_B ,Harelbeke,8530,83,111,,,194
2485,GO! basisschool Regenboog Ingelmunster,Meulebekestraat 38   ,Ingelmunster,8770,46,74,,,120
2501,GO! basisschool Gaverbeek Waregem,Nieuwhuizenstraat 7    ,Waregem,8790,75,77,,,152
2519,GO! basisschool De Plataan Roeselare,Meersstraat 13   ,Roeselare,8800,96,133,,,229
2527,GO! basisschool Ringlaan Roeselare,Groenestraat 174  ,Roeselare,8800,66,120,,,186
2535,GO! basisschool Windekind Rumbeke,Blinde-Rodenbachstraat 44   ,Roeselare,8800,40,39,,,79
2543,GO! basisschool De Springplank Tielt,Tulpenlaan 14   ,Tielt,8700,66,107,,,173
2551,GO! basisschool De Mote Ieper,Plumerlaan 26   ,Ieper,8900,117,156,,,273
2576,GO! basisschool Ter Elzen Wijtschate,Schoolstraat 19   ,Heuvelland,8953,36,40,,,76
2584,GO! basisschool 't Wilgenhof Vlamertinge,Groezeweg 8    ,Ieper,8908,52,61,,,113
2592,GO! basisschool De Ster Poperinge,Vroonhof 6    ,Poperinge,8970,64,101,,,165
2601,GO! basisschool Voskenslaan Gent,Voskenslaan 60   ,Gent,9000,91,191,,,282
2618,GO! basisschool De Kleine Icarus Gent,Karel Lodewijk Ledeganckstraat 4    ,Gent,9000,73,71,,,144
2626,GO! basisschool De Vogelzang Oostakker,Goedlevenstraat 78   ,Gent,9041,142,210,,,352
2642,GO! tehuis Het Vurstjen -     Evergem,Vurstjen 33   ,Evergem,9940,42,104,,,146
2659,GO! basisschool De Reigers Zelzate,Leegstraat 2    ,Zelzate,9060,96,194,,,290
2667,GO! basisschool De Regenboog Ertvelde,Kroonstraat 2_bis,Evergem,9940,143,267,,,410
2675,GO! basisschool 't Zwaluwnest Wachtebeke,Zwaluwlaan 64   ,Wachtebeke,9185,75,155,,,230
2683,GO! basisschool De Molenberg Stekene,Kerkstraat 153_A,Stekene,9190,102,145,,,247
2691,GO! basisschool De Bloemenhof Lokeren,Schoolstraat 56   ,Lokeren,9160,178,269,,,447
2709,GO! basisschool De Springplank Lokeren,Azalealaan 2    ,Lokeren,9160,120,196,,,316
2717,GO! basisschool Leefschool Eikenkring Lochristi,Zeveneken-Dorp 6    ,Lochristi,9080,55,59,,,114
2725,GO! basisschool De Wijze Boom Sint-Amandsberg,Sint-Baafskouterstraat 129  ,Gent,9040,111,225,,,336
2741,GO! basisschool Grembergen,Verbindingsstraat 24   ,Dendermonde,9200,76,109,,,185
2758,GO! basisschool De Veerman Hamme,Verbindingsstraat 66   ,Hamme,9220,164,252,,,416
2766,GO! basisschool Kouterbos Waasmunster,Kouterstraat 3    ,Waasmunster,9250,62,59,,,121
2774,GO! basisschool Wetteren,Noordlaan 10   ,Wetteren,9230,146,203,,,349
2782,GO! basisschool De Klaver Destelbergen,Meersstraat 17   ,Destelbergen,9070,126,206,,,332
