,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
26336,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Torretjes,Bruggestraat 23   ,Torhout,8820,,,,175,175
26344,Vrije Basisschool voor        Buitengewoon Onderwijs -      Heuvelzicht,Stokstraat 1_A  ,Houthulst,8650,,,4,17,21
26351,Vrije Lagere School voor      Buitengewoon Onderwijs-Klimop,Pluimstraat 22   ,Diksmuide,8600,,,,137,137
26369,Vrije Basisschool voor        Buitengewoon Onderwijs -      Het Noordveld,Noordveldstraat 31   ,Brugge,8200,,,12,87,99
26377,Vrije Basisschool voor        Buitengewoon Onderwijs - Het  Anker,Beisbroekdreef 12   ,Brugge,8200,,,7,93,100
26385,Vrije Basisschool voor        Buitengewoon Onderwijs - De   Berkjes,Torhoutse Steenweg 511  ,Brugge,8200,,,5,39,44
26393,Vrije Basisschool voor        Buitengewoon Onderwijs -      Ter Dreve Type 2,Koning Albert I-laan 188  ,Brugge,8200,,,12,50,62
26401,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Rietzang,Schoolstraat 2_A  ,Gistel,8470,,,,126,126
26419,Vrije Basisschool voor        Buitengewoon Onderwijs,Sportlaan 18   ,Zedelgem,8211,,,18,53,71
26427,Vrije Lagere School voor      Buitengewoon Onderwijs -      Regenboog,Belhuttebaan 24_A ,Koekelare,8680,,,,38,38
26435,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Spycker,Polderstraat 78   ,Brugge,8310,,,,193,193
26443,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Boomgaard,Sint-Kristoffelstraat 125_B,Brugge,8310,,,,86,86
26451,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Schuit,Weststraat 115  ,Blankenberge,8370,,,,53,53
26468,Vrije Lagere School voor      Buitengewoon Onderwijs -      De Vuurtoren,Heistlaan 26_A ,Knokke-Heist,8301,,,,48,48
26476,Vrije Basisschool voor        Buitengewoon Onderwijs -      Heilig Hartschool,Clivialaan 9    ,Oostende,8400,,,9,115,124
26534,Vrije Basisschool voor        Buitengewoon Onderwijs - De   Strandloper,Albert I Laan 54   ,Koksijde,8670,,,4,67,71
26575,Vrije Lagere School voor      Buitengewoon Onderwijs -      't Brugje,Lindendreef 16   ,Veurne,8630,,,,125,125
26583,Vrije Basisschool voor        Buitengewoon Onderwijs,Walle 115  ,Kortrijk,8500,,,8,61,69
26591,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Brug,Rekollettenstraat 48   ,Kortrijk,8500,,,,98,98
26609,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Bloesem,Graaf Gwijde van Namenstraat 2    ,Kortrijk,8500,,,,71,71
26617,Vrije Basisschool voor        Buitengewoon Onderwijs - De   Kindervriend,Rollegemkerkstraat 51   ,Kortrijk,8510,,,37,101,138
26625,Gemeentelijke Basisschool     voor Buitengewoon Onderwijs - De Klim-op,Theophiel Toyeplein 9    ,Zwevegem,8550,,,16,91,107
26641,Vrije Lagere School voor      Buitengewoon Onderwijs -      Blijdhove,Guido Gezellelaan 106  ,Menen,8930,,,,210,210
26658,Vrije Basisschool voor        Buitengewoon Onderwijs - De   Waterlelie,Sint-Maartensplein 19   ,Wevelgem,8560,,,9,103,112
26666,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Zonnebloem,Slabbaardstraat-Noord 90   ,Izegem,8870,,,,188,188
26674,Gemeentelijke Basisschool     voor Buitengewoon Onderwijs - De Kim,Sint-Amandusstraat 20_A ,Deerlijk,8540,,,16,193,209
26682,Gemeentelijke Lagere School   voor Buitengewoon Onderwijs - De Zon,Oostrozebekestraat 15   ,Ingelmunster,8770,,,,46,46
26691,Vrije Lagere School voor      Buitengewoon Onderwijs -      Zonneburcht,Sint-Jozefsstraat 3    ,Waregem,8790,,,,234,234
26708,Vrije Basisschool voor        Buitengewoon Onderwijs -      Sint-Idesbald,De Zilten 52   ,Roeselare,8800,,,7,172,179
26716,Vrije Basisschool voor        Buitengewoon Onderwijs - Arkorum 13 - De Hagewinde,Vikingstraat 37   ,Roeselare,8800,,,7,133,140
26741,Vrije Basisschool voor        Buitengewoon Onderwijs -      Basisonderwijs Dominiek Savio,Koolskampstraat 37   ,Hooglede,8830,,,22,93,115
26757,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Vlinder,Oude Pittemstraat 1    ,Tielt,8700,,,,96,96
26765,Vrije Basisschool voor        Buitengewoon Onderwijs - Het  Vlot,Sint-Elisabethstraat 6    ,Ieper,8900,,,19,240,259
26773,Vrije Lagere School voor      Buitengewoon Onderwijs - De   Klimrank,Deken De Bolaan 2    ,Poperinge,8970,,,,66,66
26799,Vrije Basisschool voor        Buitengewoon Onderwijs        Orthopedagogisch Observatie   en Behandelingscentrum,Jozef Guislainstraat 49   ,Gent,9000,,,6,51,57
26815,Vrije Basisschool voor        Buitengewoon Onderwijs Rozemarijn,Kloosterstraat 6_D  ,Gent,9031,,,28,68,96
26823,Vrije Lagere School voor      Buitengewoon Onderwijs,Meerhoutstraat 55   ,Gent,9041,,,,218,218
26831,Vrije Lagere School voor      Buitengewoon Onderwijs -      Macarius,Koningstraat 12   ,Gent,9000,,,,111,111
26849,Vrije Lagere School voor      Buitengewoon Onderwijs -      Korenbloem,Korenbloemstraat 17   ,Gent,9000,,,,119,119
26856,Vrije Lagere School           voor Buitengewoon Onderwijs - Sint-Jozef,Ebergiste De Deynestraat 1    ,Gent,9000,,,,208,208
26864,Vrije Basisschool voor        Buitengewoon Onderwijs        Sint-Lievenspoort,Sint-Lievenspoortstraat 129  ,Gent,9000,,,64,131,195
26898,Gemeentelijke Lagere School   voor Buitengewoon Onderwijs - De Octopus,Drongensesteenweg 146  ,Gent,9000,,,,169,169
26906,Gemeentelijke Basisschool     voor Buitengewoon Onderwijs - De Zonnepoort,Sint-Lievenspoortstraat 2    ,Gent,9000,,,36,123,159
26914,Gemeentelijke Lagere School   voor Buitengewoon Onderwijs,Ijskelderstraat 29   ,Gent,9000,,,,175,175
26922,Gemeentelijke Basisschool     voor Buitengewoon Onderwijs,Bevelandstraat 22   ,Gent,9000,,,,46,46
26948,Vrije Basisschool voor        Buitengewoon Onderwijs -      Windekind,Kazernestraat 7    ,Lokeren,9160,,,21,127,148
26955,Vrije Basisschool voor        Buitengewoon Onderwijs -      De Hagewinde,Torenstraat 15   ,Lokeren,9160,,,32,155,187
26963,"Vrije Lagere School voor      Buitengewoon Onderwijs -      ""De Zonnewijzer""",Kouterstraat 108  ,Zele,9240,,,,162,162
26971,Vrije Lagere School voor      Buitengewoon Onderwijs -      De Meiroos,Meidoornlaan 57   ,Wetteren,9230,,,,71,71
26989,Vrije Basisschool voor        Buitengewoon Onderwijs -      Sint Lodewijk,Kwatrechtsteenweg 168  ,Wetteren,9230,,,22,70,92
27003,Vrije Basisschool voor        Buitengewoon Onderwijs,Jules Destréelaan 67   ,Gent,9050,,,10,244,254
27011,Vrije Lagere School voor      Buitengewoon Onderwijs,Bergemeersenstraat 106  ,Aalst,9300,,,,180,180
27029,Vrije Basisschool voor        Buitengewoon Onderwijs,Botermelkstraat 201  ,Aalst,9300,,,15,54,69
27037,Vrije Basisschool voor        Buitengewoon Onderwijs -      Het Laar,Zuidlaan 34   ,Dendermonde,9200,,,13,117,130
27045,Vrije Basisschool voor        Buitengewoon Onderwijs -      Blijdorp,Blijdorpstraat 3    ,Buggenhout,9255,,,19,63,82
27052,Provinciale Lagere School     voor Buitengewoon Onderwijs - Claevervelt,Klaverveld 6    ,Buggenhout,9255,,,,300,300
27061,Vrije Lagere School voor      Buitengewoon Onderwijs -      Sint-Jorisschool,Sint-Jorisstraat 45   ,Ninove,9400,,,,108,108
27078,Vrije Basisschool voor        Buitengewoon Onderwijs -      De Mozaïek,Boelarestraat 3    ,Geraardsbergen,9500,,,12,77,89
27102,Vrije Lagere School voor      Buitengewoon Onderwijs -      Bernadetteschool,Parkstraat 2    ,Zottegem,9620,,,,95,95
27111,Vrije Lagere School voor      Buitengewoon Onderwijs -      De Horizon,Sint-Jozefsplein 10   ,Oudenaarde,9700,,,,223,223
27128,Vrije Basisschool voor        Buitengewoon Onderwijs -      Levensblij,Galgestraat 2    ,Oudenaarde,9700,,,16,51,67
27136,Vrije Lagere School voor      Buitengewoon Onderwijs,Kouter 93   ,Deinze,9800,,,,208,208
27144,Vrije Basisschool voor        Buitengewoon Onderwijs -      Ter Leie,Bachtekerkstraat 7    ,Deinze,9800,,,22,69,91
27151,Vrije Basisschool voor        Buitengewoon Onderwijs -      Ten Dries,Dennendreef 62   ,Nevele,9850,,,22,41,63
27185,Vrije Basisschool voor        Buitengewoon Onderwijs -      De Triangel,Molendreef 16_c ,Lovendegem,9920,,,11,40,51
44602,GO! basisschool De Schakel Hoboken,Hendriklei 67   ,Antwerpen,2660,169,239,,,408
44628,Vrije Basisschool -           Rudolf Steinerschool Kempen,Mallekotstraat 43   ,Lier,2500,138,193,,,331
44636,Gemeentelijke Basisschool,Groenstraat 29   ,Halle,1501,120,150,,,270
44644,Vrije Basisschool -           Ipos,Eekhoornlei 9    ,Schoten,2900,67,115,,,182
44651,Vrije Basisschool - Rudolf    Steinerschool Vlaanderen,Kasteellaan 54   ,Gent,9000,100,138,,,238
44677,Vrije Basisschool Het_spoor,Stationstraat 22   ,Tielt,8700,69,99,,,168
44693,Vrije Basisschool,Losting 43   ,Holsbeek,3221,104,46,,,150
44801,Vrije Basisschool -           De Klinker,Torenstraat 62   ,Rotselaar,3110,105,196,,,301
44818,Vrije Lagere School -         De Kraal,Van Bladelstraat 28   ,Herent,3020,,426,,,426
45211,Vrije Basisschool - MOZAIEK,Nieuwstraat 60   ,Deinze,9800,123,212,,,335
45237,Vrije Basisschool,Speurtstraat 3    ,Lede,9340,85,119,,,204
45245,Vrije Basisschool,Gavergrachtstraat 97   ,Gent,9031,161,246,,,407
45252,Vrije Basisschool - Belzele,Belzeelsestraat 22   ,Evergem,9940,76,134,,,210
45261,Gemeentelijke Basisschool -   De Boomgaard,Bommelstraat 24   ,Gent,9000,88,136,,,224
45278,Vrije Basisschool,Pastorijstraat 15   ,Zemst,1982,110,229,,,339
45286,Vrije Basisschool -           Sint-Maartenschool,Hombekerkouter 18   ,Mechelen,2811,96,157,,,253
45294,Vrije Basisschool -           Yggdrasil,Zwemdoklei 3    ,Brasschaat,2930,112,111,,,223
45302,Gemeentelijke Basisschool -   Larum,Larum 9    ,Geel,2440,98,130,,,228
45311,Vrije Basisschool -           De Toverboom,Bel 131  ,Geel,2440,61,130,,,191
45328,Gemeentelijke Basisschool -   De Katersberg,Katersberg 27   ,Geel,2440,95,117,,,212
45344,Gemeentelijke Lagere School - Klim Op,Gasthuisstraat 8    ,Wuustwezel,2990,,167,,,167
45351,Vrije Basisschool -           De Klimming,Assestraat 5    ,Affligem,1790,137,169,,,306
45831,Vrije Basisschool             De Twijg,Ursulinenstraat 1    ,Leuven,3018,193,181,,,374
45898,Vrije Basisschool - De        Zonnetuin,Beeweg 32   ,Brugge,8310,141,210,,,351
45922,Gemeentelijke Kleuterschool,Groendreef 16   ,Brussel,1000,194,,,,194
45931,Gemeentelijke Kleuterschool - Koningin Astrid,Mutsaardlaan 69   ,Brussel,1020,101,,,,101
46045,Vrije Basisschool -           De Zandloper,Weg naar Opoeteren 172  ,Opglabbeek,3660,95,127,,,222
46052,Vrije Basisschool,Jozef Mattheessensstraat 62   ,Hove,2540,75,144,,,219
46086,Vrije Basisschool,Zonnestraat 4    ,Haaltert,9450,130,168,,,298
46128,Vrije Basisschool -           Sint-Franciscus vzw,Schorvoortstraat 31   ,Turnhout,2300,140,246,,,386
46177,Vrije Basisschool -           Leertuin,Populierenlaan 1    ,Herentals,2200,158,227,,,385
46185,Vrije Basisschool - Guido     Gezelleschool,Astridlaan 86   ,Brugge,8310,68,98,,,166
46193,Vrije Basisschool,Okegem-Dorp 2    ,Ninove,9400,58,76,,,134
46201,Gemeentelijke Basisschool -   St. Michiels,Rijselstraat 71   ,Brugge,8200,179,278,,,457
46227,Vrije Basisschool,Heistraat 206  ,Sint-Niklaas,9100,76,118,,,194
46268,Gemeentelijke Basisschool -   Schransdries,Schransdriesstraat 45   ,Beerse,2340,156,260,,,416
46292,Vrije Kleuterschool,Naamsesteenweg 355  ,Leuven,3001,325,,,,325
46301,Gemeentelijke Basisschool -   Eksaarde,Dam 67   ,Lokeren,9160,113,195,,,308
46631,Gemeentelijke Basisschool,Kerkplein 2    ,Lubbeek,3212,93,194,,,287
46672,Vrije Basisschool -           De Toverbol,Wittestraat 116  ,Antwerpen,2020,91,124,,,215
46755,Vrije Basisschool -           Steinerschool Antwerpen basis-scholen,Volkstraat 40   ,Antwerpen,2000,91,139,,,230
46797,Gemeentelijke Basisschool -   De Octopus,Sint-Rochusstraat 124  ,Antwerpen,2100,124,250,,,374
47027,Vrije Basisschool - Klaproos,Molenheide 12   ,Zandhoven,2242,82,124,,,206
47035,Vrije Basisschool -           't Schooltje van Oppem,Processieweg 4    ,Meise,1860,80,133,,,213
47134,Vrije Kleuterschool - De Ark,Tiensesteenweg 190  ,Leuven,3001,300,,,,300
47142,Gemeentelijke Basisschool -   De Wijsneus,Worteldorp 13   ,Hoogstraten,2323,68,96,,,164
47167,Vrije Basisschool - De        Zevensprong,Vital Decosterstraat 67   ,Leuven,3000,84,125,,,209
47522,Vrije Basisschool -           Rudolf Steinerschool -        De Zonnewijzer,Privaatweg 7    ,Leuven,3018,86,109,,,195
47985,Vrije Basisschool - Rinkeling,Dorpstraat 42   ,Merchtem,1785,84,111,,,195
48009,Vrije Basisschool -           Lohrangrin,Boomsesteenweg 94   ,Antwerpen,2610,91,148,,,239
48322,Vrije Kleuterschool,Stella Marisstraat 3    ,Antwerpen,2170,247,,,,247
48331,Vrije Basisschool -           Jesode Hatora-Beth Jacob,Steenbokstraat 10   ,Antwerpen,2018,98,153,,,251
48355,Vrije Kleuterschool,Diestersteenweg 9    ,Leopoldsburg,3970,290,,,,290
48363,Vrije Basisschool,Zavelstraat 2    ,Peer,3990,72,124,,,196
48371,Vrije Basisschool,Kerkplein 4    ,Merksplas,2330,90,129,,,219
48678,Vrije Basisschool -           De Kleiheuvel,Kleitkalseide 107  ,Maldegem,9990,97,122,,,219
48744,Vrije Basisschool,Evangeliestraat 85   ,Hamme,9220,180,310,,,490
48751,Gemeentelijke Basisschool,Jef Van Lishoutstraat 17   ,Linkebeek,1630,54,112,,,166
53199,Vrije Basisschool,Charles Deberiotstraat 3    ,Leuven,3000,167,284,,,451
53215,Vrije Basisschool,Lotenhullestraat 30   ,Aalter,9881,146,244,,,390
53306,Gemeentelijke Basisschool -   Heieinde,Sint-Jozefstraat 39   ,Vosselaar,2350,125,193,,,318
53314,Vrije Kleuterschool -         De Duizendpoot,Lepelstraat 38_A ,Vorselaar,2290,215,,,,215
53322,Vrije Kleuterschool -         Immaculata,Blijkerijstraat 1    ,Malle,2390,232,,,,232
53348,GO! basisschool De Brug Eisden,Daalstraat 9    ,Maasmechelen,3630,49,52,,,101
53439,Vrije Basisschool - Sint-     Sixtus,Donkerstraat 11   ,Vleteren,8640,34,43,,,77
53488,Gemeentelijke Lagere School,Podtsmeulen 9    ,Waasmunster,9250,,103,,,103
53553,Vrije Kleuterschool -         Regina Pacis 1,Boechoutsesteenweg 87   ,Hove,2540,172,,,,172
53967,Gemeentelijke Basisschool,Zolderse kiezel 86   ,Hasselt,3511,95,138,,,233
53975,Provinciale Kleuterschool,Kwinten 3_B  ,Voeren,3790,13,,,,13
54692,Vrije Basisschool -           Sint-Gummaruscollege,Lisperstraat 112  ,Lier,2500,219,367,,,586
55301,Vrije Basisschool -           De Driehoek,Kloosterstraat 1    ,Bocholt,3950,162,227,,,389
55335,Vrije Basisschool,Grotstraat 8    ,Kapelle-op-den-Bos,1880,140,75,,,215
55459,Vrije Basisschool,Grootveldstraat 2    ,Landen,3400,230,378,,,608
55681,Vrije Basisschool - Godsheide,Kleinstraat 19   ,Hasselt,3500,85,185,,,270
55715,Vrije Basisschool,Ninoofse Steenweg 339  ,Anderlecht,1070,87,106,,,193
55723,Vrije Basisschool,Halleweg 220  ,Halle,1500,171,322,,,493
55781,Gemeentelijke Basisschool,Haagbeemdenplantsoen 95   ,Turnhout,2300,131,81,,,212
55814,Vrije Basisschool,Adolphe Willemynsstraat 215  ,Anderlecht,1070,52,43,,,95
55822,Gemeentelijke Lagere School - De Meerpaal,Terbeeksestraat 6    ,Hoogstraten,2321,,198,,,198
55831,Vrije Basisschool -           Mater Dei,Bredabaan 479  ,Brasschaat,2930,73,119,,,192
55855,Vrije Basisschool - De Kleine Prins,Aug. Debunnestraat 15   ,Menen,8930,135,225,,,360
55871,GO! leefschool De Oogappel Gent,Bisdomkaai 1    ,Gent,9000,88,124,,,212
55889,GO! basisschool Melgesdreef Merksem,Melgesdreef 113  ,Antwerpen,2170,257,338,,,595
55897,GO! basisschool Ter Beuke Kessel-lo,Rerum Novarumlaan 1    ,Leuven,3010,220,260,,,480
55905,Vrije Basisschool,Kerkstraat 3    ,Beersel,1653,95,200,,,295
55939,Vrije Basisschool,Hoogstraat 1    ,Zaventem,1930,290,392,,,682
56011,GO! freinetschool De Appeltuin Leuven,Weldadigheidsstraat 74   ,Leuven,3000,82,126,,,208
56077,Vrije Kleuterschool,Kaudenaardestraat 121  ,Dilbeek,1700,247,,,,247
57174,Vrije Basisschool -           Sint Lievenscollege,Keizer Karelstraat 12   ,Gent,9000,103,227,,,330
60988,Vrije Basisschool,Waversebaan 81   ,Oud-Heverlee,3050,92,158,,,250
60996,Gemeentelijke Basisschool -   Scheut,Van Souststraat 80   ,Anderlecht,1070,90,108,,,198
61002,Vrije Basisschool,Oude Haachtsesteenweg 125  ,Machelen,1831,99,150,,,249
61077,Vrije Basisschool,Ieperleedstraat 59   ,Middelkerke,8432,77,116,,,193
61151,Vrije Kleuterschool,Edegemsesteenweg 116_A,Kontich,2550,232,,,,232
61176,Vrije Basisschool,Vlietestraat 127  ,Harelbeke,8531,99,177,,,276
61218,GO! Basisschool Icarus Kinrooi,Kasteelstraat 3    ,Kinrooi,3640,72,135,,,207
61226,Vrije Basisschool -           De Zonnebloem,Rollebaanstraat 8_A  ,Beernem,8730,91,115,,,206
61242,Vrije Basisschool - Lutselus,Pastorijstraat 2    ,Diepenbeek,3590,134,303,,,437
61267,Vrije Basisschool,Collegestraat 19   ,Denderleeuw,9470,206,355,,,561
61325,Vrije Basisschool,Kloosterstraat 3    ,Deinze,9800,86,155,,,241
61424,Vrije Lagere School -         Sint-Michielscollege,Zwaantjeslei      ,Brasschaat,2930,,317,,,317
61457,Vrije Basisschool,Brigandsstraat 15   ,Ingelmunster,8770,139,212,,,351
61754,Gemeentelijke Basisschool,Quebecstraat 3    ,Antwerpen,2030,174,209,,,383
61903,Gemeentelijke Kleuterschool - Kaart,Veldstraat 300  ,Brasschaat,2930,158,,,,158
61961,Gemeentelijke Basisschool,Louis Wittouckstraat 46   ,Brussel,1020,118,145,,,263
61978,Gemeentelijke Basisschool -   Van Asbroek,Wilgstraat 1    ,Jette,1090,130,192,,,322
61986,Vrije Lagere School,Stevens-de Waelplein 13   ,Halle,1502,,292,,,292
62166,Gemeentelijke Basisschool,Dasstraat 26   ,Wommelgem,2160,94,127,,,221
62331,Gemeentelijke Basisschool,Kerkstraat 49   ,Waasmunster,9250,78,162,,,240
62364,Vrije Basisschool -           Sint-Dimpna,Laar 3    ,Geel,2440,93,152,,,245
62372,Vrije Basisschool - School metde Bijbel - Den Akker,Sint-Janstraat 16_A ,Lommel,3920,53,68,,,121
102525,Vrije Kleuterschool,Kloosterweg 1_B  ,Sint-Genesius-Rode,1640,196,,,,196
102533,Gemeentelijke Basisschool,Kleine Kouterstraat 1    ,Berlare,9290,57,111,,,168
102566,GO! kleuterschool Ronse,Geraardsbergenstraat 221  ,Ronse,9600,266,,,,266
102574,Vrije Kleuterschool -         Zilverenhoek Maria Immaculata,Oude Bergsebaan 20   ,Kapellen,2950,282,,,,282
102591,Vrije Kleuterschool,Peetersstraat 14   ,Diest,3290,205,,,,205
102641,Vrije Kleuterschool,Kloosterstraat 82   ,Antwerpen,2180,182,,,,182
102673,Vrije Basisschool -           Sint-Victor,Kasteeldreef 2    ,Turnhout,2300,43,121,,,164
102681,Vrije Kleuterschool -         De Zevensprong,Sint Willebrordusstraat 29   ,Brecht,2960,205,,,,205
103242,Vrije Basisschool -           De Dageraad,Lange Altaarstraat 4    ,Antwerpen,2018,92,146,,,238
103549,Gemeentelijke Basisschool -   De Vlieger,Dendermondsesteenweg 53   ,Gent,9000,126,165,,,291
103887,Gemeentelijke Basisschool -   De Springveer,Brusselsesteenweg 77_b ,Beersel,1652,70,138,,,208
104241,Vrije Lagere School,Aarschotsesteenweg 172_a,Rotselaar,3111,,205,,,205
104265,Vrije Kleuterschool - Virgo   Sapiens,Kerkhofstraat 43   ,Londerzeel,1840,204,,,,204
104299,GO! basisschool T' Overbeek Ganshoren,Van Overbekelaan 229  ,Ganshoren,1083,92,111,,,203
104307,GO! basisschool De Mozaïek Schaarbeek,Van Ysendyckstraat 24   ,Schaarbeek,1030,182,168,,,350
104315,Vrije Basisschool - O.-L.-V.- Visitatie Klimop,Theresianenstraat 34   ,Gent,9000,126,178,,,304
104372,Vrije Basisschool - Sint-Jan  Berchmans,Moerbeekstraat 3    ,Avelgem,8582,60,99,,,159
104381,Vrije Basisschool -           Proosterbos,Drossaardstraat 21   ,Maasmechelen,3630,158,244,,,402
104398,Vrije Kleuterschool Arkorum 07Vrije KLeuterschool,Seringenstraat 57   ,Roeselare,8800,198,,,,198
104431,Vrije Lagere School - De Weg- wijzer,Gemeenteplein 7    ,Lummen,3560,,247,,,247
104513,Vrije Lagere School - 1       Mozaïek,Zegestraat 40   ,Hasselt,3500,,187,,,187
104521,Vrije Basisschool - Sint-     Cajetanusschool,Tervuursesteenweg 176  ,Steenokkerzeel,1820,138,177,,,315
104547,Vrije Basisschool-            Freinetschool-De Torteltuin,Werf 52_A ,Poperinge,8970,68,110,,,178
104571,Vrije Basisschool - Sjabi,Begijnhofstraat 8    ,Puurs,2870,133,234,,,367
104588,GO! freinetschool Triangel Booischot,Kleine steenweg 33   ,Heist-op-den-Berg,2221,58,111,,,169
104596,Vrije Basisschool,Hoge Akker 16   ,Kontich,2550,149,261,,,410
104604,Vrije Basisschool - De Griffel,Marie Joséestraat 4    ,Maasmechelen,3630,123,197,,,320
104638,Vrije Basisschool -           De Horizon - 't Spoor,Zondereigen 57   ,Baarle-Hertog,2387,69,94,,,163
104711,Vrije Basisschool -           Kompas,Diestseweg 34_F ,Geel,2440,96,161,,,257
104851,Vrije Basisschool - DvM,Sint Martensplein 2_A  ,Aalst,9300,119,190,,,309
105379,Vrije Lagere School,Kruisstraat 57   ,Ronse,9600,,220,,,220
105445,Gemeentelijke Basisschool,Hoog-Kallostraat 30   ,Beveren,9120,93,105,,,198
105461,Vrije Basisschool,Ophovenstraat 71   ,Maaseik,3680,63,170,,,233
105478,Vrije basisschool - Sint-Jozef't Zandschooltje,Zuidlaan 70   ,Blankenberge,8370,103,159,,,262
105742,Vrije Basisschool - De Bolster,Dorpsstraat 48   ,Huldenberg,3040,57,100,,,157
105817,Vrije Basisschool - Sint-     Gorik,Bruulstraat 17   ,Haaltert,9450,194,227,,,421
105825,Vrije Basisschool - Het Palet,Mariastraat 7    ,Brugge,8000,98,220,,,318
105833,Vrije Basisschool I - De      Knipoog I,Hendrik Consciencestraat 25   ,Vilvoorde,1800,148,202,,,350
105882,GO! freinetschool De Step Beringen,Salviastraat 7    ,Beringen,3580,76,115,,,191
105932,Vrije Basisschool - Catharina-school,Jan Palfijnlaan 4    ,Hasselt,3500,137,196,,,333
105941,Vrije Basisschool - Klim-Op,Gootstraat 12   ,Sint-Truiden,3800,147,229,,,376
105957,Vrije Basisschool Sint-Trudo,Stenaartberg 2    ,Sint-Truiden,3800,107,215,,,322
105965,Vrije Basisschool - Jan Rosier,Pastorijstraat 11   ,Lanaken,3620,221,408,,,629
105973,Vrije Basisschool,Loostraat 5    ,Kortessem,3724,143,203,,,346
105981,Vrije Basisschool,Kloosterstraat 35   ,Peer,3990,145,212,,,357
105999,Vrije Basisschool - De        Kap(r)oenen,Alfred De Taeyestraat 40_A ,Kaprijke,9970,95,166,,,261
106005,Vrije Basisschool,Massemsesteenweg 244  ,Wetteren,9230,129,189,,,318
106013,Vrije Basisschool,Driegaaienstraat 8    ,Sint-Niklaas,9100,92,119,,,211
106021,Vrije Basisschool,Molendreef 16   ,Lovendegem,9920,51,146,,,197
106039,Vrije Basisschool - Sint-     Martinus 1,Dreef 47   ,Zomergem,9930,48,153,,,201
106047,Vrije Basisschool,Staatsbaan 190  ,Zulte,9870,182,221,,,403
106088,GO! basisschool Veltwijck Ekeren,Veltwijcklaan 235  ,Antwerpen,2180,91,136,,,227
106112,Vrije Lagere School -         Sint-Jan Berchmanscollege,Nieuwland 75   ,Brussel,1000,,300,,,300
106121,Gemeentelijke Lagere School,Maria Bernardastraat 27_A ,Zwevegem,8550,,308,,,308
106138,"Vrije Basisschool - School metde Bijbel ""de Ark""",Bruyningstraat 56_a ,Kortrijk,8510,74,139,,,213
106153,Gemeentelijke Basisschool,Denderbellestraat 2_A  ,Dendermonde,9200,76,137,,,213
106161,GO! leefschool De Vlieger Oostende,Rogierlaan 12   ,Oostende,8400,81,111,,,192
106179,Vrije Basisschool,Termerestraat 23   ,Herent,3020,68,132,,,200
106187,Vrije Basisschool St- Theresia,Rollegemkerkstraat 53   ,Kortrijk,8510,68,107,,,175
106195,Vrije Basisschool -           Klavertjevier,Engelselei 10   ,Kapellen,2950,198,226,,,424
106203,Vrije Kleuterschool,Steenbakkersstraat 80   ,Oostende,8400,178,,,,178
106815,Vrije Basisschool -           De Step,Veltwijcklaan 134  ,Antwerpen,2180,83,126,,,209
107524,Vrije Basisschool -           Prinses Juliana,d'Oultremontstraat 19   ,Etterbeek,1040,70,94,,,164
107532,Vrije Basisschool,Zalighedenlaan 16   ,Wemmel,1780,112,147,,,259
107541,Vrije Basisschool -           Burgemeester Marnix,Amerlolaan 53   ,Schoten,2900,84,147,,,231
107557,Gemeentelijke Basisschool Rode,Papenmeuter 8    ,Meise,1860,140,244,,,384
107623,Vrije Basisschool,Kerkplein 3    ,Genk,3600,116,139,,,255
107631,Vrije Basisschool - Mozaiek,Parklaan 3    ,Maasmechelen,3630,196,333,,,529
107649,Vrije Basisschool - Sint-Jans college De Krekel,Krekelberg 1    ,Gent,9040,190,230,,,420
107656,Vrije Kleuterschool - De Weg- wijzer,Gemeenteplein 7    ,Lummen,3560,239,,,,239
107681,GO! basisschool Toverfluit Hasselt,Alfons Jeurissenstraat 46   ,Hasselt,3500,82,131,,,213
107698,GO! basisschool Engelmanshoven-Gelinden Sint-Truiden,Driewilgenstraat 23   ,Sint-Truiden,3800,102,151,,,253
107789,Vrije Lagere School - KLIM,Sint-Pietersaalststraat 78_A ,Gent,9000,,300,,,300
107797,Vrije Basisschool,Ottergemsesteenweg 155  ,Gent,9000,92,124,,,216
107805,Gemeentelijke Basisschool -   De Loods,Patrijsstraat 12   ,Gent,9000,132,140,,,272
107813,Vrije Basisschool,Wegvoeringstraat 59   ,Wetteren,9230,233,333,,,566
107821,Vrije Basisschool,Kapellenstraat 43   ,Lebbeke,9280,48,80,,,128
107839,Vrije Basisschool - Onze LieveVrouw Presentatie,Plezantstraat 135  ,Sint-Niklaas,9100,128,199,,,327
107847,Vrije Basisschool,Patronagestraat 52   ,Zelzate,9060,108,224,,,332
